iter	Logloss
0	0.6342441928
1	0.5894807658
2	0.5543946139
3	0.5282504418
4	0.5086950524
5	0.492795731
6	0.4797133511
7	0.468773966
8	0.4609427534
9	0.4556328263
10	0.4490826725
11	0.4438934708
12	0.4393639143
13	0.4356299707
14	0.4327275761
15	0.4312217949
16	0.4296239583
17	0.4269414643
18	0.4257758197
19	0.4239145616
20	0.4230198199
21	0.4211151908
22	0.4199376232
23	0.4188271844
24	0.4181052931
25	0.4169966537
26	0.4159547474
27	0.4150454487
28	0.4144398081
29	0.4134119614
30	0.4128668827
31	0.4120762676
32	0.4113593522
33	0.4109258884
34	0.4108124789
35	0.410442762
36	0.4101670095
37	0.4098117288
38	0.4094165835
39	0.4092062267
40	0.4088862951
41	0.408370237
42	0.4081852283
43	0.408031289
44	0.4077419451
45	0.4076191555
46	0.4070289334
47	0.4068482204
48	0.4067658927
49	0.4066424371
50	0.4065509056
51	0.4064954467
52	0.4063953138
53	0.4059820864
54	0.405887508
55	0.4058318653
56	0.4057545619
57	0.405371406
58	0.4052537398
59	0.405160099
60	0.4050348836
61	0.4049161129
62	0.4047562318
63	0.40462886
64	0.404541521
65	0.4044129446
66	0.404341443
67	0.4041093614
68	0.4039874623
69	0.4038608878
70	0.403723653
71	0.4036088256
72	0.4032784113
73	0.4030990298
74	0.4029898812
75	0.402867985
76	0.4027964351
77	0.4026627984
78	0.4025586704
79	0.4024474786
80	0.4023254531
81	0.4022153431
82	0.4021098768
83	0.4019870781
84	0.4018504066
85	0.4017259585
86	0.4016299371
87	0.401473558
88	0.401297327
89	0.401129713
90	0.4009668321
91	0.4008305565
92	0.4006417257
93	0.4004628101
94	0.4003273553
95	0.4001813267
96	0.4000231667
97	0.3999002724
98	0.3997226116
99	0.3995424375
100	0.3993732712
101	0.3992002909
102	0.398892977
103	0.3987357677
104	0.39855646
105	0.3983657984
106	0.3982021744
107	0.3980314898
108	0.397874237
109	0.3976959654
110	0.3975297428
111	0.3973620468
112	0.3971894985
113	0.3970087158
114	0.3968354699
115	0.396669421
116	0.3965034128
117	0.3963409581
118	0.3961795878
119	0.3960176967
120	0.3958557207
121	0.3956993756
122	0.3955397397
123	0.3953834802
124	0.3951102549
125	0.3949546479
126	0.3948024658
127	0.3946520596
128	0.3945027803
129	0.3943502932
130	0.3942004489
131	0.3940065406
132	0.3938733801
133	0.3937258327
134	0.3935791116
135	0.3934359395
136	0.3932902587
137	0.3931466542
138	0.3930035708
139	0.3928623517
140	0.3927219118
141	0.3925814277
142	0.3924412938
143	0.3923028021
144	0.3921652647
145	0.3920279909
146	0.3918908857
147	0.3917544768
148	0.3916186716
149	0.3914830444
150	0.3913481935
151	0.3912134301
152	0.3910930535
153	0.3909600675
154	0.3908279472
155	0.3906959579
156	0.3905644008
157	0.3904328032
158	0.3903019818
159	0.390171118
160	0.3899701472
161	0.3898403238
162	0.3897111947
163	0.3895827168
164	0.389454238
165	0.389326755
166	0.3891997064
167	0.3890730901
168	0.3889465615
169	0.3888204219
170	0.3886943248
171	0.388568793
172	0.3884440835
173	0.3883194616
174	0.3882052378
175	0.3880808758
176	0.3879580673
177	0.3878350495
178	0.3877125056
179	0.3875903529
180	0.3874690244
181	0.3873476085
182	0.3872266268
183	0.3871059043
184	0.3869855294
185	0.38682589
186	0.386705731
187	0.3865863965
188	0.3864667146
189	0.3863478572
190	0.3862289989
191	0.3861106617
192	0.3859929304
193	0.3858754582
194	0.3857582017
195	0.3856414664
196	0.3855246453
197	0.3854184825
198	0.3853019647
199	0.3851860074
